Sample	quast-N50	quast-Total_length	bakta-Count	bakta-Length	bakta-CDSs	kraken-pct_top_one	kraken-pct_top_n	kraken-pct_unclassified
GCF_000181555.2_ASM18155v2_genomic	908.814	1.4695589999999998	32	1469834	1418			
GCF_000181575.2_ASM18157v2_genomic	170.966	1.321434	20	1321434	1306			
GCF_000181715.2_ASM18171v2_genomic	169.491	1.295058	25	1295451	1255			
GCF_000181855.2_ASM18185v2_genomic	36.967	1.427907	54	1427907	1411			
GCF_002151465.1_ASM215146v1_genomic	909.921	1.288112	12	1288112	1274			
GCF_002151485.1_ASM215148v1_genomic	910.7280000000001	1.3015539999999999	11	1301554	1305			
GCF_002151505.1_ASM215150v1_genomic	909.921	1.3411819999999999	13	1341182	1339			
GCF_002442595.2_ASM244259v2_genomic	903.654	1.409089	19	1409089	1379			
GCF_003367295.1_ASM336729v1_genomic	908.5120000000001	1.28024	16	1280240	1237			
GCF_019134655.1_ASM1913465v1_genomic	909.995	1.217256	11	1217256	1168			
GCF_019464575.1_ASM1946457v1_genomic	903.66	1.429304	19	1429304	1405			
GCF_024662155.1_ASM2466215v1_genomic	903.249	1.3920599999999999	18	1392060	1357			
GCF_024662175.1_ASM2466217v1_genomic	920.773	1.417706	18	1417706	1400			
GCF_024662195.1_ASM2466219v1_genomic	909.655	1.513701	21	1513701	1505			
GCF_040790715.1_ASM4079071v1_genomic	908.738	1.289159	14	1289159	1216			
GCF_040790735.1_ASM4079073v1_genomic	909.471	1.391486	18	1391486	1359			
GCF_040790745.1_ASM4079074v1_genomic	902.797	1.371468	18	1371468	1331			
GCF_040790755.1_ASM4079075v1_genomic	902.698	1.321156	16	1321156	1300			
GCF_040790765.1_ASM4079076v1_genomic	910.0790000000001	1.397896	19	1397896	1369			
GCF_040790775.1_ASM4079077v1_genomic	907.6320000000001	1.417953	17	1417953	1383			
GCF_040790785.1_ASM4079078v1_genomic	910.048	1.383845	18	1383845	1347			
GCF_040790795.1_ASM4079079v1_genomic	916.773	1.325608	16	1325608	1251			
GCF_040790805.1_ASM4079080v1_genomic	907.88	1.2166329999999999	12	1216633	1169			
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	910.259	1.341511	15	1341511	1317			
K89HH	274.303	1.545632	150	1557782	1479			
UCT109H	910.57	1.474783	28	1476377	1438			
UCT110H	906.8100000000001	1.4001709999999998	114	1417187	1343			
UCT113H	905.788	1.265811	253	1304891	1189	82.6086956521739	83.79446640316206	1.185770750988142
UCT113H_kraken2						82.6086956521739	83.79446640316206	1.185770750988142
UCT124H	900.914	1.5061959999999999	50	1510565	1476			
UCT29H	910.485	1.559264	24	1559716	1547			
UCT30H	905.47	1.461527	89	1471861	1385	83.14606741573034	85.39325842696628	1.1235955056179776
UCT30H_kraken2						83.14606741573034	85.39325842696628	1.1235955056179776
UCT31H	910.624	1.530196	32	1531745	1514			
UCT32H	921.072	1.4958669999999998	57	1501989	1459	85.96491228070175	85.96491228070175	1.7543859649122806
UCT32H_kraken2						85.96491228070175	85.96491228070175	1.7543859649122806
UCT35H	910.022	1.347562	33	1350407	1278	78.78787878787878	87.87878787878788	9.090909090909092
UCT35H_kraken2						78.78787878787878	87.87878787878788	9.090909090909092
UCT50H	902.761	1.329478	90	1341231	1284	72.22222222222221	77.77777777777779	4.444444444444445
UCT50H_kraken2						72.22222222222221	77.77777777777779	4.444444444444445
UCT92H	906.713	1.530632	62	1537760	1512	95.16129032258065	96.7741935483871	1.6129032258064515
UCT92H_kraken2						95.16129032258065	96.7741935483871	1.6129032258064515
UCT95H	893.639	1.491903	15	1491903	3042			
UCT96H	900.898	1.479028	35	1481271	1451			
UNY1032P	910.572	1.459435	18	1459435	1428			
UNY1038P	915.7330000000001	1.403595	19	1403595	1354			
UNY1083P	923.13	1.449517	226	1494188	1405	56.19469026548673	56.63716814159292	30.53097345132743
UNY1083P_kraken2						56.19469026548673	56.63716814159292	30.53097345132743
UNY1085P	903.386	1.4090799999999999	18	1409080	1350			
UNY1090P	912.713	1.41325	19	1413250	1377			
UNY1128P	213.832	1.440836	277	1488312	1399	75.81227436823104	76.17328519855594	5.054151624548736
UNY1128P_kraken2						75.81227436823104	76.17328519855594	5.054151624548736
UNY149P	915.7330000000001	1.4270319999999999	19	1427032	1389			
UNY169P	902.773	1.3467609999999999	17	1346761	1303			
UNY172P	903.384	1.3524939999999999	16	1352494	1298			
UNY193P	910.086	1.403883	19	1403883	1358			
UNY203P	910.0840000000001	1.326072	17	1326072	1289			
UNY208P	912.713	1.4132529999999999	19	1413253	1376			
UNY990P	902.813	1.367194	17	1367194	1301			
URI101H	910.549	1.55298	32	1554475	1513			
URI102H	910.559	1.438278	44	1442774	1392			
URI103H	921.058	1.465528	56	1474413	1424			
URI107H	910.57	1.501264	49	1505434	1479			
URI111H	910.611	1.5391569999999999	23	1539609	1513			
URI112H	903.099	1.42055	85	1431440	1366	82.35294117647058	85.88235294117646	2.3529411764705883
URI112H_kraken2						82.35294117647058	85.88235294117646	2.3529411764705883
URI117H	434.933	1.364256	160	1384478	1299	84.375	85.625	1.25
URI117H_kraken2						84.375	85.625	1.25
URI118H	920.957	1.363534	109	1380118	1317			
URI120H	910.72	1.5619049999999999	105	1576195	1544			
URI33H	902.844	1.3494199999999998	44	1353948	1272	90.9090909090909	93.18181818181817	2.272727272727273
URI33H_kraken2						90.9090909090909	93.18181818181817	2.272727272727273
URI34H	910.082	1.369133	79	1376021	1295	84.81012658227847	86.07594936708861	1.2658227848101267
URI34H_kraken2						84.81012658227847	86.07594936708861	1.2658227848101267
URI36H	927.732	1.476993	53	1482383	1423	73.58490566037736	90.56603773584906	7.547169811320755
URI36H_kraken2						73.58490566037736	90.56603773584906	7.547169811320755
URI39H	920.673	1.556617	28	1557202	1542			
URI40H	910.602	1.5011919999999999	82	1509727	1470	71.95121951219512	76.82926829268293	1.2195121951219512
URI40H_kraken2						71.95121951219512	76.82926829268293	1.2195121951219512
URI41H	914.354	1.457112	84	1468867	1437			
URI42H	910.587	1.452605	74	1460998	1422			
URI44H	921.082	1.408987	75	1417636	1341	76.0	81.33333333333333	1.3333333333333335
URI44H_kraken2						76.0	81.33333333333333	1.3333333333333335
URI45H	42.83	1.532603	350	1585394	1458	81.14285714285714	84.0	0.8571428571428572
URI45H_kraken2						81.14285714285714	84.0	0.8571428571428572
URI46H	906.7620000000001	1.425069	95	1437550	1363	87.36842105263159	90.52631578947368	1.0526315789473684
URI46H_kraken2						87.36842105263159	90.52631578947368	1.0526315789473684
URI47H	921.203	1.5103229999999999	29	1512039	1477			
URI48H	902.7760000000001	1.3771069999999999	22	1377993	1323	95.45454545454545	95.45454545454545	4.545454545454546
URI48H_kraken2						95.45454545454545	95.45454545454545	4.545454545454546
URI56H	903.272	1.259512	230	1297641	1187			
URI86H	919.077	1.395149	88	1406230	1329			
URI87H	910.57	1.498567	66	1505755	1466			
URI88H	906.672	1.538319	33	1540602	1502			
URI89H	910.72	1.54142	85	1553229	1526	74.11764705882354	77.64705882352942	1.1764705882352942
URI89H_kraken2						74.11764705882354	77.64705882352942	1.1764705882352942
URI91H	910.69	1.5876629999999998	26	1588266	1574			
URI93H	910.57	1.472745	29	1474340	1426			
UWI247P	912.339	1.359286	17	1359286	1300			
UWI248P	910.022	1.387586	18	1387586	1337			
UWI263P	907.926	1.409038	19	1409038	1372			
UWI283P	903.355	1.33229	16	1332290	1277			
XYZ459H	903.2330000000001	1.2714239999999999	24	1272095	1199	79.16666666666666	91.66666666666666	8.333333333333332
XYZ459H_kraken2						79.16666666666666	91.66666666666666	8.333333333333332
roary_pangenome_v5_filtered_nsp			2115	1671363	1833			
roary_pangenome_v5_filtered_sp			4673	3347826	4137			
roary_pangenome_v5_nsp			2762	1769304	1911			
roary_pangenome_v5_nsp-checkpoint			2762	1769304	1911			
