Sample	N50 (Kbp)	L50 (K)	Largest contig (Kbp)	Length (Mbp)	Misassemblies	Mismatches/100kbp	Indels/100kbp	Genome Fraction
GCA_040790795.1_ASM4079079v1_genomic	916.773	0.001	916.773	1.325608	15.0	684.36	44.78	76.097
GCA_040790805.1_ASM4079080v1_genomic	907.88	0.001	907.88	1.2166329999999999	4.0	51.83	13.27	79.66
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	910.259	0.001	910.259	1.341511	4.0	525.65	34.93	78.539
GCF_000008685.2_ASM868v2_genomic	910.724	0.001	910.724	1.521208	0.0	0.0	0.0	100.0
GCF_000021405.1_ASM2140v1_genomic	906.707	0.001	906.707	1.345494	7.0	511.34	38.1	83.267
GCF_000166635.1_ASM16663v1_genomic	902.191	0.001	902.191	1.339539	15.0	825.88	48.73	79.113
GCF_000166655.1_ASM16665v1_genomic	922.801	0.001	922.801	1.531091	29.0	992.45	62.44	80.587
GCF_000171735.2_ASM17173v2_genomic	85.309	0.005	231.415	1.4530129999999999	16.0	811.09	42.01	78.16
GCF_000172295.2_ASM17229v2_genomic	35.743	0.013000000000000001	88.934	1.344204	9.0	850.71	63.8	77.523
GCF_000172315.2_ASM17231v2_genomic	83.077	0.005	209.169	1.294354	9.0	697.0	38.81	74.432
GCF_000172335.2_ASM17233v2_genomic	169.17600000000002	0.003	408.55	1.485884	12.0	444.76	34.5	88.174
GCF_000181555.2_ASM18155v2_genomic	908.814	0.001	908.814	1.4695589999999998	18.0	881.52	57.29	79.32
GCF_000181575.2_ASM18157v2_genomic	170.966	0.003	471.2	1.321434	10.0	571.41	34.76	77.384
GCF_000181715.2_ASM18171v2_genomic	169.491	0.004	216.266	1.295058	16.0	778.57	42.03	76.285
GCF_000181855.2_ASM18185v2_genomic	36.967	0.011	147.84	1.427907	24.0	939.06	76.21	80.442
GCF_002151465.1_ASM215146v1_genomic	909.921	0.001	909.921	1.288112	1.0	44.27	10.74	82.706
GCF_002151485.1_ASM215148v1_genomic	910.7280000000001	0.001	910.7280000000001	1.3015539999999999	4.0	110.48	14.05	83.072
GCF_002151505.1_ASM215150v1_genomic	909.921	0.001	909.921	1.3411819999999999	2.0	93.47	15.29	85.499
GCF_002442595.2_ASM244259v2_genomic	903.654	0.001	903.654	1.409089	24.0	932.37	60.88	78.783
GCF_003367295.1_ASM336729v1_genomic	908.5120000000001	0.001	908.5120000000001	1.28024	16.0	758.69	44.05	75.032
GCF_019134655.1_ASM1913465v1_genomic	909.995	0.001	909.995	1.217256	13.0	837.36	39.56	73.334
GCF_019464575.1_ASM1946457v1_genomic	903.66	0.001	903.66	1.429304	30.0	948.06	69.76	81.123
GCF_024662155.1_ASM2466215v1_genomic	903.249	0.001	903.249	1.3920599999999999	23.0	892.56	59.71	79.527
GCF_024662175.1_ASM2466217v1_genomic	920.773	0.001	920.773	1.417706	18.0	844.86	51.95	78.659
GCF_024662195.1_ASM2466219v1_genomic	909.655	0.001	909.655	1.513701	0.0	1.98	4.36	99.439
GCF_040790715.1_ASM4079071v1_genomic	908.738	0.001	908.738	1.289159	20.0	730.03	47.72	77.188
GCF_040790735.1_ASM4079073v1_genomic	909.471	0.001	909.471	1.391486	20.0	833.46	45.12	78.701
GCF_040790745.1_ASM4079074v1_genomic	902.797	0.001	902.797	1.371468	18.0	860.85	53.89	80.962
GCF_040790755.1_ASM4079075v1_genomic	902.698	0.001	902.698	1.321156	21.0	838.73	53.63	80.789
GCF_040790765.1_ASM4079076v1_genomic	910.0790000000001	0.001	910.0790000000001	1.397896	16.0	832.72	44.26	77.689
GCF_040790775.1_ASM4079077v1_genomic	907.6320000000001	0.001	907.6320000000001	1.417953	4.0	1.06	3.96	92.908
GCF_040790785.1_ASM4079078v1_genomic	910.048	0.001	910.048	1.383845	14.0	813.36	47.49	78.758
GCF_040790795.1_ASM4079079v1_genomic	916.773	0.001	916.773	1.325608	15.0	684.36	44.78	76.097
GCF_040790805.1_ASM4079080v1_genomic	907.88	0.001	907.88	1.2166329999999999	4.0	51.83	13.27	79.66
GCF_040819585.1_PFhe_I_PB_Ill_cons_genomic	910.259	0.001	910.259	1.341511	4.0	525.65	34.93	78.539
K89HH	274.303	0.002	552.693	1.545632	20.0	794.74	55.63	85.122
UCT109H	910.57	0.001	910.57	1.474783	12.0	119.4	16.16	93.149
UCT110H	906.8100000000001	0.001	906.8100000000001	1.4001709999999998	18.0	747.51	42.21	77.967
UCT113H	905.788	0.001	905.788	1.265811	19.0	683.13	35.66	75.122
UCT124H	900.914	0.001	900.914	1.5061959999999999	9.0	405.69	34.88	90.035
UCT29H	910.485	0.001	910.485	1.559264	19.0	224.26	28.36	97.068
UCT30H	905.47	0.001	905.47	1.461527	30.0	777.99	55.55	79.193
UCT31H	910.624	0.001	910.624	1.530196	16.0	228.94	28.73	94.179
UCT32H	921.072	0.001	921.072	1.4958669999999998	28.0	932.44	58.02	80.123
UCT35H	910.022	0.001	910.022	1.347562	19.0	684.11	34.37	74.828
UCT50H	902.761	0.001	902.761	1.329478	16.0	796.43	55.42	78.509
UCT92H	906.713	0.001	906.713	1.530632	29.0	909.46	55.27	80.024
UCT95H	893.639	0.001	893.639	1.491903	20.0	917.34	850.0	74.381
UCT96H	900.898	0.001	900.898	1.479028	20.0	434.17	32.7	90.804
UNY1032P	910.572	0.001	910.572	1.459435	3.0	88.25	15.5	93.671
UNY1038P	915.7330000000001	0.001	915.7330000000001	1.403595	18.0	743.29	45.05	78.419
UNY1083P	923.13	0.001	923.13	1.449517	28.0	795.09	55.07	80.312
UNY1085P	903.386	0.001	903.386	1.4090799999999999	19.0	878.26	57.4	79.803
UNY1090P	912.713	0.001	912.713	1.41325	17.0	827.41	42.21	78.991
UNY1128P	213.832	0.002	709.546	1.440836	27.0	828.82	65.41	81.65
UNY149P	915.7330000000001	0.001	915.7330000000001	1.4270319999999999	21.0	841.47	49.76	79.957
UNY169P	902.773	0.001	902.773	1.3467609999999999	18.0	855.1	53.06	80.421
UNY172P	903.384	0.001	903.384	1.3524939999999999	17.0	841.18	53.26	78.963
UNY193P	910.086	0.001	910.086	1.403883	10.0	769.19	46.76	76.995
UNY203P	910.0840000000001	0.001	910.0840000000001	1.326072	15.0	731.32	33.69	74.574
UNY208P	912.713	0.001	912.713	1.4132529999999999	14.0	772.9	41.67	78.52
UNY990P	902.813	0.001	902.813	1.367194	14.0	807.88	53.28	78.845
URI101H	910.549	0.001	910.549	1.55298	18.0	200.18	22.77	94.39
URI102H	910.559	0.001	910.559	1.438278	10.0	92.81	11.59	91.219
URI103H	921.058	0.001	921.058	1.465528	25.0	869.46	52.92	80.474
URI107H	910.57	0.001	910.57	1.501264	12.0	127.59	12.91	92.989
URI111H	910.611	0.001	910.611	1.5391569999999999	21.0	251.16	28.36	94.226
URI112H	903.099	0.001	903.099	1.42055	26.0	827.54	54.85	79.202
URI117H	434.933	0.002	461.794	1.364256	16.0	738.38	49.21	76.743
URI118H	920.957	0.001	920.957	1.363534	21.0	777.62	48.77	78.827
URI120H	910.72	0.001	910.72	1.5619049999999999	15.0	241.92	30.56	94.713
URI33H	902.844	0.001	902.844	1.3494199999999998	18.0	777.3	49.44	79.791
URI34H	910.082	0.001	910.082	1.369133	9.0	704.15	41.21	75.937
URI36H	927.732	0.001	927.732	1.476993	39.0	973.06	63.98	82.581
URI39H	920.673	0.001	920.673	1.556617	15.0	216.2	22.67	96.519
URI40H	910.602	0.001	910.602	1.5011919999999999	15.0	147.59	20.18	93.357
URI41H	914.354	0.001	914.354	1.457112	13.0	166.82	22.52	91.732
URI42H	910.587	0.001	910.587	1.452605	12.0	153.47	20.25	90.328
URI44H	921.082	0.001	921.082	1.408987	24.0	798.63	51.27	78.825
URI45H	42.83	0.005	254.72	1.532603	21.0	859.07	53.87	80.823
URI46H	906.7620000000001	0.001	906.7620000000001	1.425069	29.0	817.66	52.04	79.301
URI47H	921.203	0.001	921.203	1.5103229999999999	31.0	924.47	58.01	80.907
URI48H	902.7760000000001	0.001	902.7760000000001	1.3771069999999999	18.0	854.78	48.47	79.659
URI56H	903.272	0.001	903.272	1.259512	14.0	728.86	48.69	77.927
URI86H	919.077	0.001	919.077	1.395149	24.0	763.12	43.83	78.017
URI87H	910.57	0.001	910.57	1.498567	12.0	152.86	15.37	93.766
URI88H	906.672	0.001	906.672	1.538319	34.0	919.68	56.37	81.483
URI89H	910.72	0.001	910.72	1.54142	17.0	195.47	23.38	94.092
URI91H	910.69	0.001	910.69	1.5876629999999998	12.0	114.59	13.08	96.095
URI93H	910.57	0.001	910.57	1.472745	15.0	137.8	21.54	93.435
UWI247P	912.339	0.001	912.339	1.359286	16.0	747.05	44.21	76.947
UWI248P	910.022	0.001	910.022	1.387586	18.0	784.23	52.06	76.972
UWI263P	907.926	0.001	907.926	1.409038	25.0	829.11	51.82	78.613
UWI283P	903.355	0.001	903.355	1.33229	20.0	872.33	51.52	77.217
XYZ459H	903.2330000000001	0.001	903.2330000000001	1.2714239999999999	8.0	757.97	44.71	75.191
