Sample	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N90	NG90	auN	auNG	L50	LG50	L90	LG90	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	# unaligned contigs_partial	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	# genomic features	# genomic features_partial	Largest alignment	Total aligned length	NA50	NGA50	NA90	NGA90	auNA	auNGA	LA50	LGA50	LA90	LGA90
GCA_019134655.1_ASM1913465v1_genomic	11.0	11.0	11.0	11.0	10.0	2.0	1217256.0	1217256.0	1217256.0	1217256.0	1199051.0	961768.0	11.0	909995.0	1217256.0	1521208.0	28.45	28.18	909995.0	909995.0	29645.0	-	688566.0	550983.9	1.0	1.0	7.0	-	13.0	6.0	179875.0	9.0	0.0	0.0	0.0	0.0	8.0	74069.0	73.334	1.018	1.64	837.36	39.56	1160.0	32.0	904588.0	1135119.0	904588.0	904588.0	7716.0	-	676857.7	541615.1	1.0	1.0	11.0	-
GCA_019464575.1_ASM1946457v1_genomic	19.0	19.0	19.0	19.0	15.0	2.0	1429304.0	1429304.0	1429304.0	1429304.0	1346823.0	957418.0	19.0	903660.0	1429304.0	1521208.0	28.21	28.18	903660.0	903660.0	27715.0	24387.0	582816.1	547605.2	1.0	1.0	13.0	16.0	30.0	14.0	427297.0	12.0	0.0	0.0	2.0	0.0	13.0	100342.0	81.123	1.076	0.0	948.06	69.76	1278.0	40.0	903470.0	1327445.0	903470.0	903470.0	3158.0	-	577381.0	542498.4	1.0	1.0	26.0	-
GCA_024662155.1_ASM2466215v1_genomic	18.0	18.0	18.0	18.0	14.0	2.0	1392060.0	1392060.0	1392060.0	1392060.0	1314493.0	956810.0	18.0	903249.0	1392060.0	1521208.0	28.26	28.18	903249.0	903249.0	27525.0	18341.0	596979.7	546297.1	1.0	1.0	12.0	17.0	23.0	12.0	370887.0	8.0	0.0	0.0	3.0	0.0	13.0	105249.0	79.527	1.063	0.0	892.56	59.71	1256.0	37.0	903249.0	1286194.0	903249.0	903249.0	2562.0	-	592135.9	541864.6	1.0	1.0	25.0	-
GCA_024662175.1_ASM2466217v1_genomic	18.0	18.0	18.0	18.0	15.0	2.0	1417706.0	1417706.0	1417706.0	1417706.0	1357402.0	974305.0	18.0	920773.0	1417706.0	1521208.0	28.16	28.18	920773.0	920773.0	28768.0	21173.0	608890.7	567462.2	1.0	1.0	12.0	16.0	18.0	10.0	1203046.0	14.0	0.0	0.0	3.0	0.0	15.0	177750.0	78.659	1.036	0.0	844.86	51.95	1255.0	46.0	905132.0	1239616.0	905132.0	905132.0	-	-	582296.2	542677.2	1.0	1.0	-	-
GCA_024662195.1_ASM2466219v1_genomic	21.0	21.0	21.0	20.0	17.0	3.0	1513701.0	1513701.0	1513701.0	1504314.0	1444849.0	1015796.0	21.0	909655.0	1513701.0	1521208.0	28.2	28.18	909655.0	909655.0	28447.0	28332.0	560014.8	557251.1	1.0	1.0	14.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.439	1.0	0.0	1.98	4.36	1669.0	16.0	909651.0	1512668.0	909651.0	909651.0	28332.0	27991.0	559971.8	557208.4	1.0	1.0	14.0	15.0
GCA_030439605.1_ASM3043960v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1007753.0	1007753.0	1007753.0	1007753.0	990825.0	964327.0	4.0	910655.0	1007753.0	1521208.0	28.42	28.18	910655.0	910655.0	910655.0	-	826752.1	547697.6	1.0	1.0	1.0	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.238	1.0	0.0	3.28	3.37	1049.0	1.0	910655.0	1007623.0	910655.0	910655.0	910655.0	-	826746.2	547693.7	1.0	1.0	1.0	-
GCA_030439625.1_ASM3043962v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1007827.0	1007827.0	1007827.0	1007827.0	990606.0	964152.0	4.0	910422.0	1007827.0	1521208.0	28.41	28.18	910422.0	910422.0	910422.0	-	826284.2	547427.8	1.0	1.0	1.0	-	1.0	1.0	17221.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	66.236	1.0	0.0	331.98	17.27	1047.0	3.0	910422.0	1007303.0	910422.0	910422.0	910422.0	-	826220.5	547385.6	1.0	1.0	1.0	-
GCA_030439665.1_ASM3043966v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1000122.0	1000122.0	1000122.0	1000122.0	984026.0	957520.0	4.0	902811.0	1000122.0	1521208.0	28.45	28.18	902811.0	902811.0	902811.0	-	818922.5	538402.7	1.0	1.0	1.0	-	1.0	1.0	16096.0	3.0	0.0	0.0	0.0	0.0	2.0	2277.0	65.614	0.999	0.0	551.26	21.27	1035.0	8.0	902628.0	996816.0	902628.0	902628.0	902628.0	-	818390.7	538053.0	1.0	1.0	1.0	-
GCA_030440345.1_ASM3044034v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1006065.0	1006065.0	1006065.0	1006065.0	988121.0	961607.0	4.0	907764.0	1006065.0	1521208.0	28.44	28.18	907764.0	907764.0	907764.0	-	822968.2	544277.7	1.0	1.0	1.0	-	1.0	1.0	53843.0	1.0	0.0	0.0	0.0	0.0	2.0	8350.0	65.394	1.0	0.0	529.06	19.61	1032.0	4.0	904647.0	994593.0	904647.0	904647.0	46521.0	-	816478.5	539985.6	1.0	1.0	2.0	-
GCA_030444985.1_ASM3044498v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1007632.0	1007632.0	1007632.0	1007632.0	990728.0	964230.0	4.0	910563.0	1007632.0	1521208.0	28.42	28.18	910563.0	910563.0	910563.0	-	826683.8	547586.5	1.0	1.0	1.0	-	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.243	1.0	0.0	8.73	4.07	1050.0	0.0	910563.0	1007503.0	910563.0	910563.0	910563.0	-	826677.9	547582.7	1.0	1.0	1.0	-
GCA_030445005.1_ASM3044500v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1007828.0	1007828.0	1007828.0	1007828.0	990606.0	964152.0	4.0	910422.0	1007828.0	1521208.0	28.41	28.18	910422.0	910422.0	910422.0	-	826283.4	547427.8	1.0	1.0	1.0	-	1.0	1.0	17222.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	66.236	1.0	0.0	331.98	17.17	1047.0	3.0	910422.0	1007304.0	910422.0	910422.0	910422.0	-	826219.8	547385.6	1.0	1.0	1.0	-
GCA_030445025.1_ASM3044502v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1008124.0	1008124.0	1008124.0	1008124.0	990842.0	964338.0	4.0	910663.0	1008124.0	1521208.0	28.4	28.18	910663.0	910663.0	910663.0	-	826475.0	547715.5	1.0	1.0	1.0	-	1.0	1.0	17282.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	66.231	1.0	0.0	337.59	16.97	1046.0	4.0	910486.0	1007424.0	910486.0	910486.0	910486.0	-	826091.5	547461.4	1.0	1.0	1.0	-
GCA_030445065.1_ASM3044506v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1006503.0	1006503.0	1006503.0	1006503.0	989986.0	963461.0	4.0	910229.0	1006503.0	1521208.0	28.43	28.18	910229.0	910229.0	910229.0	-	826949.2	547148.6	1.0	1.0	1.0	-	1.0	1.0	16517.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	66.14	1.0	0.0	286.2	12.82	1044.0	5.0	910229.0	1005955.0	910229.0	910229.0	910229.0	-	826887.8	547108.0	1.0	1.0	1.0	-
GCA_032595375.1_ASM3259537v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1007086.0	1007086.0	1007086.0	1007086.0	989778.0	963273.0	4.0	909591.0	1007086.0	1521208.0	28.41	28.18	909591.0	909591.0	909591.0	-	825390.9	546433.9	1.0	1.0	1.0	-	1.0	1.0	17308.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	66.173	1.0	0.0	347.73	17.68	1045.0	5.0	909583.0	1006518.0	909583.0	909583.0	909583.0	-	825313.8	546382.8	1.0	1.0	1.0	-
GCA_032595515.1_ASM3259551v1_genomic	4.0	4.0	4.0	4.0	3.0	1.0	1004596.0	1004596.0	1004596.0	1004596.0	987311.0	911399.0	4.0	911399.0	1004596.0	1521208.0	28.4	28.18	911399.0	911399.0	911399.0	-	830273.7	548307.4	1.0	1.0	1.0	-	2.0	2.0	928684.0	2.0	2.0	7.0	0.0	0.0	0.0	0.0	65.163	1.003	982.88	338.46	17.2	1016.0	17.0	901525.0	994219.0	901525.0	901525.0	49389.0	-	812393.0	536499.1	1.0	1.0	2.0	-
GCA_032595535.1_ASM3259553v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1005759.0	1005759.0	1005759.0	1005759.0	985923.0	960224.0	4.0	909722.0	1005759.0	1521208.0	28.44	28.18	909722.0	909722.0	909722.0	-	826439.0	546406.9	1.0	1.0	1.0	-	2.0	2.0	929558.0	3.0	0.0	10.0	0.0	0.0	3.0	8440.0	64.803	1.0	1129.5	569.01	19.27	1013.0	23.0	896938.0	985924.0	896938.0	896938.0	50457.0	-	803201.3	531043.0	1.0	1.0	2.0	-
GCA_032595755.1_ASM3259575v1_genomic	4.0	4.0	4.0	4.0	3.0	2.0	1006563.0	1006563.0	1006563.0	1006563.0	988428.0	961940.0	4.0	910071.0	1006563.0	1521208.0	28.39	28.18	910071.0	910071.0	910071.0	-	826525.6	546901.0	1.0	1.0	1.0	-	0.0	0.0	0.0	3.0	0.0	23.0	0.0	0.0	2.0	7287.0	62.696	1.0	4547.55	586.83	24.44	962.0	42.0	862433.0	953433.0	862433.0	862433.0	51806.0	-	742464.6	491278.9	1.0	1.0	2.0	-
GCA_038801875.1_ASM3880187v1_genomic	2.0	2.0	2.0	2.0	2.0	1.0	946504.0	946504.0	946504.0	946504.0	946504.0	919990.0	2.0	919990.0	946504.0	1521208.0	28.44	28.18	919990.0	919990.0	919990.0	-	894961.5	556849.9	1.0	1.0	1.0	-	1.0	1.0	919990.0	5.0	0.0	0.0	0.0	0.0	1.0	3008.0	62.046	1.0	0.0	522.63	18.34	968.0	4.0	905455.0	943489.0	905455.0	905455.0	905455.0	-	867069.0	539495.1	1.0	1.0	1.0	-
GCA_040790715.1_ASM4079071v1_genomic	14.0	14.0	14.0	14.0	11.0	2.0	1289159.0	1289159.0	1289159.0	1289159.0	1222603.0	962616.0	14.0	908738.0	1289159.0	1521208.0	28.02	28.18	908738.0	908738.0	27454.0	-	649834.5	550707.0	1.0	1.0	9.0	-	20.0	9.0	1163183.0	11.0	0.0	0.0	2.0	0.0	11.0	110239.0	77.188	1.003	0.0	730.03	47.72	1224.0	35.0	468321.0	1177616.0	435045.0	435045.0	2437.0	-	321701.9	272628.7	2.0	2.0	21.0	-
GCA_040790735.1_ASM4079073v1_genomic	18.0	18.0	18.0	18.0	13.0	2.0	1391486.0	1391486.0	1391486.0	1391486.0	1288594.0	963376.0	18.0	909471.0	1391486.0	1521208.0	28.27	28.18	909471.0	909471.0	27192.0	18015.0	605012.4	553419.5	1.0	1.0	12.0	17.0	20.0	11.0	1204252.0	14.0	0.0	0.0	2.0	0.0	16.0	156722.0	78.701	1.031	0.07	833.46	45.12	1268.0	33.0	468258.0	1234607.0	435179.0	435179.0	-	-	298641.1	273174.2	2.0	2.0	-	-
GCA_040790745.1_ASM4079074v1_genomic	18.0	18.0	18.0	17.0	12.0	2.0	1371468.0	1371468.0	1371468.0	1362746.0	1260568.0	956638.0	18.0	902797.0	1371468.0	1521208.0	28.18	28.18	902797.0	902797.0	26498.0	8722.0	604810.6	545276.1	1.0	1.0	12.0	18.0	18.0	8.0	251347.0	7.0	0.0	0.0	4.0	1.0	14.0	131138.0	80.962	1.006	0.36	860.85	53.89	1284.0	53.0	902617.0	1239475.0	902617.0	902617.0	912.0	-	599585.0	540564.9	1.0	1.0	39.0	-
GCA_040790755.1_ASM4079075v1_genomic	16.0	16.0	16.0	14.0	12.0	2.0	1321156.0	1321156.0	1321156.0	1307066.0	1262263.0	957421.0	16.0	902698.0	1321156.0	1521208.0	28.35	28.18	902698.0	902698.0	29570.0	-	626997.0	544541.5	1.0	1.0	10.0	-	21.0	10.0	293639.0	11.0	0.0	0.0	0.0	0.0	10.0	64441.0	80.789	1.021	0.08	838.73	53.63	1287.0	52.0	902578.0	1254867.0	902578.0	902578.0	8843.0	-	623028.2	541094.6	1.0	1.0	15.0	-
GCA_040790765.1_ASM4079076v1_genomic	19.0	19.0	18.0	17.0	15.0	2.0	1397896.0	1397896.0	1393143.0	1383762.0	1340585.0	963746.0	19.0	910079.0	1397896.0	1521208.0	28.28	28.18	910079.0	910079.0	27762.0	18208.0	603159.6	554266.3	1.0	1.0	12.0	17.0	16.0	6.0	149059.0	6.0	0.0	0.0	5.0	0.0	14.0	171625.0	77.689	1.031	0.0	832.72	44.26	1243.0	36.0	904581.0	1217932.0	904581.0	904581.0	-	-	589951.2	542128.7	1.0	1.0	-	-
GCA_040790775.1_ASM4079077v1_genomic	17.0	17.0	17.0	17.0	14.0	3.0	1417953.0	1417953.0	1417953.0	1417953.0	1357768.0	1014483.0	17.0	907632.0	1417953.0	1521208.0	28.07	28.18	907632.0	907632.0	28647.0	24443.0	593516.4	553230.3	1.0	1.0	12.0	15.0	4.0	2.0	53090.0	0.0	0.0	0.0	0.0	0.0	2.0	2903.0	92.908	1.001	0.0	1.06	3.96	1538.0	9.0	907632.0	1414283.0	907632.0	907632.0	28599.0	20854.0	593283.5	553013.2	1.0	1.0	12.0	15.0
GCA_040790785.1_ASM4079078v1_genomic	18.0	18.0	18.0	17.0	14.0	2.0	1383845.0	1383845.0	1383845.0	1375138.0	1310904.0	963746.0	18.0	910048.0	1383845.0	1521208.0	28.34	28.18	910048.0	910048.0	27456.0	18115.0	608897.0	553914.4	1.0	1.0	12.0	17.0	14.0	5.0	134894.0	6.0	0.0	0.0	6.0	0.0	14.0	155833.0	78.758	1.018	0.07	813.36	47.49	1269.0	42.0	904600.0	1219136.0	904600.0	904600.0	-	-	596078.7	542253.6	1.0	1.0	-	-
GCA_040790795.1_ASM4079079v1_genomic	16.0	16.0	16.0	16.0	11.0	2.0	1325608.0	1325608.0	1325608.0	1325608.0	1226350.0	970623.0	16.0	916773.0	1325608.0	1521208.0	28.07	28.18	916773.0	916773.0	26512.0	-	643292.9	560577.0	1.0	1.0	10.0	-	15.0	8.0	1131317.0	12.0	0.0	0.0	4.0	0.0	14.0	159830.0	76.097	1.007	0.0	684.36	44.78	1201.0	34.0	467363.0	1165617.0	434879.0	434879.0	-	-	311507.1	271452.9	2.0	2.0	-	-
GCA_040790805.1_ASM4079080v1_genomic	12.0	12.0	12.0	12.0	9.0	2.0	1216633.0	1216633.0	1216633.0	1216633.0	1174743.0	961550.0	12.0	907880.0	1216633.0	1521208.0	28.44	28.18	907880.0	907880.0	29924.0	-	685727.8	548431.9	1.0	1.0	7.0	-	4.0	3.0	968626.0	0.0	0.0	0.0	0.0	0.0	2.0	2737.0	79.66	1.001	0.0	51.83	13.27	1297.0	12.0	867188.0	1213469.0	867188.0	867188.0	26603.0	-	627176.4	501603.6	1.0	1.0	8.0	-
GCA_040819585.1_PFhe_I_PB_Ill_cons_genomic	15.0	15.0	15.0	15.0	12.0	2.0	1341511.0	1341511.0	1341511.0	1341511.0	1284530.0	964042.0	15.0	910259.0	1341511.0	1521208.0	28.43	28.18	910259.0	910259.0	28903.0	-	628530.9	554283.9	1.0	1.0	10.0	-	4.0	2.0	46260.0	6.0	0.0	0.0	2.0	3.0	5.0	140728.0	78.539	1.004	0.0	525.65	34.93	1255.0	25.0	910146.0	1199459.0	910146.0	910146.0	-	-	623853.3	550158.9	1.0	1.0	-	-
GCF_000008685.2_ASM868v2_genomic	22.0	22.0	22.0	20.0	17.0	3.0	1521208.0	1521208.0	1521208.0	1506594.0	1446819.0	1017352.0	22.0	910724.0	1521208.0	1521208.0	28.18	28.18	910724.0	910724.0	28155.0	28155.0	558608.0	558608.0	1.0	1.0	15.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	1.0	3.62	0.0	0.0	1693.0	0.0	910724.0	1521208.0	910724.0	910724.0	28155.0	28155.0	558608.0	558608.0	1.0	1.0	15.0	15.0
GCF_000021405.1_ASM2140v1_genomic	15.0	15.0	15.0	15.0	12.0	2.0	1345494.0	1345494.0	1345494.0	1345494.0	1280480.0	960322.0	15.0	906707.0	1345494.0	1521208.0	28.27	28.18	906707.0	906707.0	28885.0	-	622101.9	550243.2	1.0	1.0	10.0	-	7.0	5.0	1012994.0	6.0	0.0	0.0	2.0	0.0	6.0	71256.0	83.267	1.003	0.37	511.34	38.1	1349.0	27.0	903539.0	1270379.0	903539.0	903539.0	17211.0	-	614395.0	543426.5	1.0	1.0	12.0	-
GCF_000166635.1_ASM16663v1_genomic	17.0	17.0	17.0	16.0	12.0	2.0	1339539.0	1339539.0	1339539.0	1330817.0	1253353.0	955977.0	17.0	902191.0	1339539.0	1521208.0	28.27	28.18	902191.0	902191.0	26642.0	-	617665.1	543901.0	1.0	1.0	11.0	-	15.0	8.0	249274.0	6.0	0.0	0.0	4.0	1.0	13.0	131991.0	79.113	1.003	0.15	825.88	48.73	1255.0	51.0	902026.0	1206591.0	902026.0	902026.0	550.0	-	612325.5	539199.0	1.0	1.0	39.0	-
GCF_000166655.1_ASM16665v1_genomic	21.0	21.0	21.0	21.0	16.0	3.0	1531091.0	1531091.0	1531091.0	1531091.0	1418966.0	1036456.0	21.0	922801.0	1531091.0	1521208.0	28.33	28.18	922801.0	922801.0	26981.0	26981.0	569450.0	573149.7	1.0	1.0	15.0	15.0	29.0	11.0	1245026.0	24.0	0.0	0.0	3.0	0.0	18.0	191570.0	80.587	1.09	0.26	992.45	62.44	1283.0	49.0	909883.0	1335588.0	909883.0	909883.0	-	-	545949.6	549496.6	1.0	1.0	-	-
GCF_000171735.2_ASM17173v2_genomic	27.0	26.0	26.0	25.0	21.0	8.0	1453013.0	1452092.0	1452092.0	1443400.0	1366151.0	969313.0	27.0	231415.0	1453013.0	1521208.0	28.19	28.18	85309.0	85309.0	27336.0	24765.0	112945.7	107882.4	5.0	5.0	19.0	22.0	16.0	9.0	502351.0	7.0	0.0	0.0	7.0	1.0	17.0	232255.0	78.16	1.029	0.0	811.09	42.01	1229.0	56.0	204462.0	1223536.0	79026.0	66837.0	-	-	96273.3	91957.4	5.0	6.0	-	-
GCF_000172295.2_ASM17229v2_genomic	53.0	51.0	45.0	39.0	24.0	7.0	1344204.0	1342458.0	1330101.0	1285483.0	1027057.0	463943.0	53.0	88934.0	1344204.0	1521208.0	28.32	28.18	35743.0	31052.0	15963.0	-	41660.0	36812.5	13.0	15.0	34.0	-	9.0	6.0	197042.0	5.0	0.0	0.0	1.0	2.0	9.0	133787.0	77.523	1.026	0.0	850.71	63.8	1186.0	74.0	88929.0	1210051.0	35743.0	25206.0	444.0	-	36637.8	32374.7	13.0	16.0	62.0	-
GCF_000172315.2_ASM17231v2_genomic	26.0	26.0	21.0	21.0	20.0	9.0	1294354.0	1294354.0	1286504.0	1286504.0	1268323.0	953321.0	26.0	209169.0	1294354.0	1521208.0	28.35	28.18	83077.0	59106.0	27775.0	-	110279.2	93833.6	5.0	6.0	17.0	-	9.0	2.0	84535.0	6.0	0.0	0.0	2.0	0.0	10.0	155281.0	74.432	1.006	0.0	697.0	38.81	1159.0	48.0	209169.0	1138880.0	83077.0	59106.0	-	-	103956.8	88454.0	5.0	6.0	-	-
