CFHKPG_00001	Uncharacterized protein BB_0001
CFHKPG_00174	mnmG
CFHKPG_00175	mnmE
CFHKPG_00176	flbF
CFHKPG_00177	flgK
CFHKPG_00178	flgL
CFHKPG_00179	fliW
CFHKPG_00180	csrA
CFHKPG_00181	tsaB
CFHKPG_00182	tsaE
CFHKPG_00183	group_1834
CFHKPG_00184	rplT
CFHKPG_00185	rpmI
CFHKPG_00186	infC
CFHKPG_00187	Yip1 domain-containing protein
CFHKPG_00188	group_1958
CFHKPG_00189	tatD
CFHKPG_00190	lapB
CFHKPG_00191	prfA
CFHKPG_00192	prmC
CFHKPG_00193	spoT
CFHKPG_00194	Putative membrane protein
CFHKPG_00195	ddl
CFHKPG_00196	murE
CFHKPG_00198	tlyC
CFHKPG_00199	hflK
CFHKPG_00200	hflC
CFHKPG_00203	hDGYP
CFHKPG_00204	rsmD
CFHKPG_00205	UTP--glucose-1-phosphate uridylyltransferase
CFHKPG_00206	BB_0208 family protein
CFHKPG_00207	group_1720
CFHKPG_00208	lmp1
CFHKPG_00209	mutL
CFHKPG_00210	group_2002
CFHKPG_00212	group_1953
CFHKPG_00213	efp
CFHKPG_00214	pstS
CFHKPG_00215	pstC
CFHKPG_00216	pstA
CFHKPG_00217	pstB
CFHKPG_00218	zupT
CFHKPG_00219	alaS
CFHKPG_00220	fliG
CFHKPG_00221	pgl
CFHKPG_00222	Putative lipoprotein
CFHKPG_00223	group_103
CFHKPG_00224	group_363
CFHKPG_00225	serS
CFHKPG_00226	DUF3298 domain-containing protein
CFHKPG_00227	cym1
CFHKPG_00228	rpmE2
CFHKPG_00229	rho
CFHKPG_00230	group_1630
CFHKPG_00231	hbb
CFHKPG_00232	rpsT
CFHKPG_00233	Membrane associated protein
CFHKPG_00234	ychF
CFHKPG_00235	yncE
CFHKPG_00236	lnt
CFHKPG_00237	group_1817
CFHKPG_00238	dck
CFHKPG_00239	glpF
CFHKPG_00240	glpK
CFHKPG_00241	glpA
CFHKPG_00242	yaaR
CFHKPG_00243	ccmA
CFHKPG_00244	group_1676
CFHKPG_00245	rdgB
CFHKPG_00246	pepF
CFHKPG_00247	pcs
CFHKPG_00248	dedA
CFHKPG_00250	leuS
CFHKPG_00251	mMPL
CFHKPG_00252	lon
CFHKPG_00253	recJ
CFHKPG_00254	nlpD
CFHKPG_00255	rpsU
CFHKPG_00256	ftsK
CFHKPG_00257	uppP
CFHKPG_00258	mltE
CFHKPG_00259	group_148
CFHKPG_00260	group_1658
CFHKPG_00261	group_365
CFHKPG_00262	lepB
CFHKPG_00263	dnaK
CFHKPG_00264	Uncharacterized protein BB_0265
CFHKPG_00265	Uncharacterized protein BB_0266
CFHKPG_00266	fapA
CFHKPG_00267	hfq
CFHKPG_00268	group_1516
CFHKPG_00269	flhF
CFHKPG_00270	flhA
CFHKPG_00271	flhB
CFHKPG_00272	fliR
CFHKPG_00273	fliQ
CFHKPG_00274	fliP
CFHKPG_00275	fliZ
CFHKPG_00276	fliN
CFHKPG_00277	fliM
CFHKPG_00278	fliL
CFHKPG_00279	motB
CFHKPG_00280	motA
CFHKPG_00281	swrD
CFHKPG_00282	flgE
CFHKPG_00283	flgD
CFHKPG_00284	fliK
CFHKPG_00285	Flagellar protein
CFHKPG_00286	group_367
CFHKPG_00287	fliI
CFHKPG_00288	fliH
CFHKPG_00289	group_1568
CFHKPG_00290	fliF
CFHKPG_00291	fliE
CFHKPG_00292	flgC
CFHKPG_00293	flgB
CFHKPG_00294	hslU
CFHKPG_00295	hslV
CFHKPG_00296	dprA
CFHKPG_00297	TPR repeat-containing protein BB_0298
CFHKPG_00298	ftsZ
CFHKPG_00299	ftsA
CFHKPG_00300	ftsQ
CFHKPG_00301	ftsW
CFHKPG_00302	mraY
CFHKPG_00303	murF
CFHKPG_00304	ftsL
CFHKPG_00305	rsmH
CFHKPG_00306	group_1946
CFHKPG_00307	group_1671
CFHKPG_00308	group_1712
CFHKPG_00309	nadK
CFHKPG_00310	cheW
CFHKPG_00311	rlmE
CFHKPG_00312	ispA
CFHKPG_00313	group_1815
CFHKPG_00314	nupQ
CFHKPG_00315	group_1912
CFHKPG_00316	mglA
CFHKPG_00317	nupN
CFHKPG_00318	group_1746
CFHKPG_00319	xkdP
CFHKPG_00320	bamD
CFHKPG_00321	VWFA domain-containing protein
CFHKPG_00322	group_1623
CFHKPG_00323	Glycerol-3-phosphate O-acyltransferase
CFHKPG_00324	group_606
CFHKPG_00325	oppA
CFHKPG_00326	group_1816
CFHKPG_00327	dppB
CFHKPG_00328	dppC
CFHKPG_00329	dppD
CFHKPG_00330	gsiA
CFHKPG_00331	P26
CFHKPG_00332	eno
CFHKPG_00333	rpsI
CFHKPG_00334	rplM
CFHKPG_00335	Uncharacterized protein BB_0340
CFHKPG_00336	gatB
CFHKPG_00337	gatA
CFHKPG_00338	gatC
CFHKPG_00339	group_371
CFHKPG_00340	BB_0345 family helix-turn-helix protein
CFHKPG_00341	group_1646
CFHKPG_00342	rqcH
CFHKPG_00343	pyk
CFHKPG_00344	amrB
CFHKPG_00345	rpmB
CFHKPG_00346	group_1677
CFHKPG_00347	group_1681
CFHKPG_00348	Permease
CFHKPG_00349	LptF/LptG family permease
CFHKPG_00350	cdnL
CFHKPG_00351	UDP-N-acetyl-D-mannosaminuronic acid transferase (WecB/TagA/CpsF family)
CFHKPG_00352	rsmE2
CFHKPG_00353	ctpA
CFHKPG_00354	group_607
CFHKPG_00355	flhG
CFHKPG_00356	lgt
CFHKPG_00357	pdeA
CFHKPG_00358	mgsA
CFHKPG_00359	p22
CFHKPG_00360	apeA
CFHKPG_00361	group_214
CFHKPG_00362	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CFHKPG_00363	group_378
CFHKPG_00364	tyrS
CFHKPG_00365	glyQS
CFHKPG_00366	gltX
CFHKPG_00367	P31-23
CFHKPG_00368	pdeB
CFHKPG_00369	group_1792
CFHKPG_00370	metK
CFHKPG_00371	luxS
CFHKPG_00372	Uncharacterized protein BB_0378
CFHKPG_00373	hinT
CFHKPG_00374	mgtE
CFHKPG_00375	treA
CFHKPG_00376	bmpB
CFHKPG_00377	bmpA
CFHKPG_00378	bmpC
CFHKPG_00379	bmpD
CFHKPG_00380	rpsG
CFHKPG_00381	rpsL
CFHKPG_00382	rpoC
CFHKPG_00383	rpoB
CFHKPG_00384	rplL
CFHKPG_00385	rplJ
CFHKPG_00386	rplA
CFHKPG_00387	rplK
CFHKPG_00388	nusG
CFHKPG_00389	secE
CFHKPG_00391	rpmG
CFHKPG_00393	group_1861
CFHKPG_00394	group_379
CFHKPG_00395	aNKYR
CFHKPG_00396	group_1883
CFHKPG_00397	gltP
CFHKPG_00398	proS
CFHKPG_00399	putative secreted protein
CFHKPG_00400	group_1962
CFHKPG_00401	group_1398
CFHKPG_00402	group_1987
CFHKPG_00403	manA
CFHKPG_00404	ptsN
CFHKPG_00405	group_380
CFHKPG_00406	Endonuclease
CFHKPG_00407	Membrane protein, putative
CFHKPG_00408	sEC59
CFHKPG_00409	cheR
CFHKPG_00410	cheB
CFHKPG_00411	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
CFHKPG_00412	adk
CFHKPG_00413	group_1500
CFHKPG_00414	rrp1
CFHKPG_00415	cheY
CFHKPG_00420	Haloacid dehalogenase-like hydrolase
CFHKPG_00421	mpg
CFHKPG_00423	group_941
CFHKPG_00426	rCL
CFHKPG_00427	rsmI
CFHKPG_00428	DUF3784 domain-containing protein
CFHKPG_00429	DUF1893 domain-containing protein
CFHKPG_00430	Impact N-terminal domain-containing protein
CFHKPG_00431	group_1653
CFHKPG_00432	group_2018
CFHKPG_00433	parB
CFHKPG_00434	gyrA
CFHKPG_00435	gyrB
CFHKPG_00436	dnaA
CFHKPG_00437	dnaN
CFHKPG_00438	Uncharacterized protein BB_0439
CFHKPG_00439	rpmH
CFHKPG_00440	rnpA
CFHKPG_00441	yidC
CFHKPG_00442	jag
CFHKPG_00443	wcaG
CFHKPG_00444	fbaA
CFHKPG_00445	aspS
CFHKPG_00446	group_1852
CFHKPG_00447	ptsH
CFHKPG_00448	raiA
CFHKPG_00449	rpoN
CFHKPG_00450	group_1974
CFHKPG_00451	chrA
CFHKPG_00452	mscS
CFHKPG_00453	rfaB
CFHKPG_00454	holA
CFHKPG_00455	group_2042
CFHKPG_00456	uvrC
CFHKPG_00457	Fibronectin type-III domain-containing protein
CFHKPG_00458	Tetratricopeptide repeat domain protein
CFHKPG_00461	group_1634
CFHKPG_00465	dnaX
CFHKPG_00466	efbC
CFHKPG_00467	ndk
CFHKPG_00468	group_1820
CFHKPG_00469	Organic solvent tolerance-like N-terminal domain-containing protein
CFHKPG_00470	group_1532
CFHKPG_00471	pgeF
CFHKPG_00472	nIF3
CFHKPG_00473	lspA
CFHKPG_00474	NADH dehydrogenase subunit 4L
CFHKPG_00475	ymdB
CFHKPG_00476	murA
CFHKPG_00477	group_1808
CFHKPG_00478	Lipoprotein, putative
CFHKPG_00479	tuf
CFHKPG_00480	rpsJ
CFHKPG_00481	rplC
CFHKPG_00482	rplD
CFHKPG_00483	rplW
CFHKPG_00484	rplB
CFHKPG_00485	rpsS
CFHKPG_00486	rplV
CFHKPG_00487	rpsC
CFHKPG_00488	rplP
CFHKPG_00489	rpmC
CFHKPG_00490	rpsQ
CFHKPG_00491	rplN
CFHKPG_00492	rplX
CFHKPG_00493	rplE
CFHKPG_00494	rpsZ
CFHKPG_00495	rpsH
CFHKPG_00496	rplF
CFHKPG_00497	rplR
CFHKPG_00498	rpsE
CFHKPG_00499	rpmD
CFHKPG_00500	rplO
CFHKPG_00501	secY
CFHKPG_00502	rpmJ
CFHKPG_00503	rpsM
CFHKPG_00504	rpsK
CFHKPG_00505	rpoA
CFHKPG_00506	rplQ
CFHKPG_00507	rny
CFHKPG_00508	group_385
CFHKPG_00509	yqxC
CFHKPG_00510	gerM
CFHKPG_00511	der
CFHKPG_00512	NlpC/P60 family protein
CFHKPG_00513	group_1508
CFHKPG_00514	DNA repair exonuclease SbcCD ATPase subunit
CFHKPG_00515	pheS
CFHKPG_00516	pheT
CFHKPG_00517	trxB
CFHKPG_00518	rlmB
CFHKPG_00519	group_1446
CFHKPG_00520	group_1795
CFHKPG_00521	grpE
CFHKPG_00522	nadE
CFHKPG_00523	suhB
CFHKPG_00524	group_1497
CFHKPG_00525	group_1911
CFHKPG_00526	coaX
CFHKPG_00527	pdxI
CFHKPG_00528	TIGR02757 family protein
CFHKPG_00529	Uncharacterized protein BB_0531
CFHKPG_00530	group_1819
CFHKPG_00531	phnP
CFHKPG_00532	xth
CFHKPG_00533	Flagellar filament outer layer protein
CFHKPG_00534	pqqL
CFHKPG_00537	group_1483
CFHKPG_00538	group_2038
CFHKPG_00539	ybhL
CFHKPG_00540	fusA
CFHKPG_00541	KTSC domain-containing protein
CFHKPG_00542	tadD
CFHKPG_00543	group_2037
CFHKPG_00544	prs
CFHKPG_00545	Xylulokinase
CFHKPG_00546	group_942
CFHKPG_00547	coaE
CFHKPG_00548	polA
CFHKPG_00549	group_223
CFHKPG_00550	fliS
CFHKPG_00551	group_393
CFHKPG_00552	ligA
CFHKPG_00553	group_1934
CFHKPG_00554	group_225
CFHKPG_00555	cutS
CFHKPG_00556	cutB
CFHKPG_00557	group_1416
CFHKPG_00558	ptsI
CFHKPG_00559	crr
CFHKPG_00560	htpG
CFHKPG_00561	gnd
CFHKPG_00562	group_2068
CFHKPG_00563	group_1780
CFHKPG_00564	DUF3996 domain-containing protein
CFHKPG_00565	group_1733
CFHKPG_00566	STAS domain-containing protein
CFHKPG_00567	cheA
CFHKPG_00568	group_1787
CFHKPG_00569	group_1744
CFHKPG_00570	group_1486
CFHKPG_00572	pyrH
CFHKPG_00573	wcaA
CFHKPG_00574	lptB
CFHKPG_00575	ABC transporter permease
CFHKPG_00576	pyrG
CFHKPG_00577	DUF1761 domain-containing protein
CFHKPG_00578	Type I restriction enzyme R protein N-terminal domain-containing protein
CFHKPG_00579	group_1734
CFHKPG_00580	dnaE
CFHKPG_00581	ycf19
CFHKPG_00582	recG
CFHKPG_00583	ldcB
CFHKPG_00584	norM
CFHKPG_00585	group_1563
CFHKPG_00586	murD
CFHKPG_00587	fmhB
CFHKPG_00588	metG
CFHKPG_00589	mtnN
CFHKPG_00590	pta
CFHKPG_00591	rsmA
CFHKPG_00592	comEC
CFHKPG_00593	ydiL
CFHKPG_00594	fAA1
CFHKPG_00595	argS
CFHKPG_00596	rnfE
CFHKPG_00597	tar
CFHKPG_00598	group_1509
CFHKPG_00599	murB
CFHKPG_00600	cysS
CFHKPG_00601	IPT/TIG domain protein
CFHKPG_00602	glyA
CFHKPG_00603	dnaJ
CFHKPG_00604	integrin-binding adhesin P66
CFHKPG_00605	lldP
CFHKPG_00606	dacC
CFHKPG_00607	cheD
CFHKPG_00608	uvrD
CFHKPG_00609	pepD
CFHKPG_00614	tig
CFHKPG_00615	clpP
CFHKPG_00616	clpX
CFHKPG_00617	group_1755
CFHKPG_00618	group_2008
CFHKPG_00619	rpsD
CFHKPG_00621	fieF
CFHKPG_00622	group_1422
CFHKPG_00623	cdd
CFHKPG_00624	nrnA
CFHKPG_00625	bglX
CFHKPG_00627	yajL
CFHKPG_00628	Acetate kinase
CFHKPG_00629	mfd
CFHKPG_00630	Uncharacterized conserved protein
CFHKPG_00631	lysM
CFHKPG_00633	apeB
CFHKPG_00634	group_1786
CFHKPG_00635	group_2032
CFHKPG_00636	pfkB
CFHKPG_00637	group_2070
CFHKPG_00639	recD
CFHKPG_00640	recB
CFHKPG_00641	Exodeoxyribonuclease V gamma subunit
CFHKPG_00642	pncB
CFHKPG_00643	zwf
CFHKPG_00644	group_398
CFHKPG_00645	nhaC
CFHKPG_00646	potD
CFHKPG_00647	potC
CFHKPG_00648	potB
CFHKPG_00649	potA
CFHKPG_00650	ylqF
CFHKPG_00651	nanE
CFHKPG_00652	ptsG
CFHKPG_00653	yvaK
CFHKPG_00654	bosR
CFHKPG_00655	Serine/threonine kinase
CFHKPG_00656	groL
CFHKPG_00657	group_1400
CFHKPG_00658	yajC
CFHKPG_00659	secD
CFHKPG_00660	secF
CFHKPG_00661	group_400
CFHKPG_00662	group_1480
CFHKPG_00663	psgB
CFHKPG_00664	rpiA
CFHKPG_00665	gpmA
CFHKPG_00666	lysS
CFHKPG_00667	era
CFHKPG_00668	DZANK-type domain-containing protein
CFHKPG_00669	bptA
CFHKPG_00670	UPF0127 protein
CFHKPG_00671	group_1652
CFHKPG_00672	Glycosyltransferase
CFHKPG_00673	amiC
CFHKPG_00674	Flagellar filament outsheath protein
CFHKPG_00675	flaA
CFHKPG_00676	group_1442
CFHKPG_00677	group_2011
CFHKPG_00678	cheX
CFHKPG_00679	group_1507
CFHKPG_00680	Toluene tolerance protein
CFHKPG_00681	Ion transport domain-containing protein
CFHKPG_00682	group_1664
CFHKPG_00683	gph
CFHKPG_00684	nupO
CFHKPG_00685	nupP
CFHKPG_00686	group_404
CFHKPG_00687	Methyl-accepting chemotaxis protein
CFHKPG_00688	group_1655
CFHKPG_00689	mnmA
CFHKPG_00690	pksG
CFHKPG_00691	fni
CFHKPG_00692	hMG1
CFHKPG_00693	mvaD
CFHKPG_00694	eRG8
CFHKPG_00695	mvk
CFHKPG_00697	ykwD
CFHKPG_00698	napA
CFHKPG_00699	group_1899
CFHKPG_00700	group_405
CFHKPG_00701	ffh
CFHKPG_00702	rpsP
CFHKPG_00703	khpA
CFHKPG_00704	rimM
CFHKPG_00705	trmD
CFHKPG_00706	rplS
CFHKPG_00707	group_1927
CFHKPG_00708	coaD
CFHKPG_00709	rpmF
CFHKPG_00710	acpP
CFHKPG_00711	rnc
CFHKPG_00712	pcnB
CFHKPG_00713	group_1851
CFHKPG_00714	Nucleoside transport system permease protein
CFHKPG_00717	mltG
CFHKPG_00718	dnaG
CFHKPG_00719	rpoD
CFHKPG_00720	C4-type zinc ribbon domain-containing protein
CFHKPG_00722	group_1617
CFHKPG_00723	mreB
CFHKPG_00724	mreC
CFHKPG_00725	mreD
CFHKPG_00726	mrdA
CFHKPG_00727	rodA
CFHKPG_00728	thrS
CFHKPG_00729	pgsA
CFHKPG_00730	group_2044
CFHKPG_00731	cyaB
CFHKPG_00732	trkG
CFHKPG_00733	trkA
CFHKPG_00734	group_1572
CFHKPG_00735	pfkA
CFHKPG_00736	cdr
CFHKPG_00737	Transporter, dicarboxylate/amino acid:cation (Na+ or H+) symporter (Daacs) family
CFHKPG_00738	pgi
CFHKPG_00739	spo0J
CFHKPG_00740	mrcA
CFHKPG_00741	plzA
CFHKPG_00742	tsaC
CFHKPG_00743	rlpA
CFHKPG_00744	dusA
CFHKPG_00745	valS
CFHKPG_00746	lolA
CFHKPG_00747	mnmC
CFHKPG_00748	groES
CFHKPG_00749	uup
CFHKPG_00750	pQQ
CFHKPG_00751	Borrelia P83/P100 antigen
CFHKPG_00754	nth
CFHKPG_00755	yejE
CFHKPG_00756	group_1814
CFHKPG_00757	Septum formation initiator family protein
CFHKPG_00758	group_234
CFHKPG_00759	DUF4340 domain-containing protein
CFHKPG_00760	gldG
CFHKPG_00761	nosY
CFHKPG_00762	group_1702
CFHKPG_00763	rnz
CFHKPG_00764	dadA
CFHKPG_00765	clpP2
CFHKPG_00766	group_1986
CFHKPG_00768	DUF368 domain-containing protein
CFHKPG_00769	mazG
CFHKPG_00770	group_1633
CFHKPG_00771	ntrC
CFHKPG_00772	ntrY
CFHKPG_00773	DNA polymerase III subunit gamma/tau
CFHKPG_00774	cvpA
CFHKPG_00775	murG
CFHKPG_00776	pdxK
CFHKPG_00777	tsaD
CFHKPG_00778	yibQ
CFHKPG_00779	rpoS
CFHKPG_00780	flgJ1
CFHKPG_00781	flgI
CFHKPG_00782	group_1495
CFHKPG_00783	flgG
CFHKPG_00784	flgF
CFHKPG_00785	DUF2147 domain-containing protein
CFHKPG_00786	apt
CFHKPG_00787	rplU
CFHKPG_00788	ysxB
CFHKPG_00789	rpmA
CFHKPG_00790	obgE
CFHKPG_00791	nadD
CFHKPG_00792	LytR/CpsA/Psr regulator C-terminal domain-containing protein
CFHKPG_00793	rsfS
CFHKPG_00794	spoVG
CFHKPG_00796	50S ribosomal protein L25/general stress protein Ctc
CFHKPG_00797	pth
CFHKPG_00798	tilS
CFHKPG_00799	ftsH
CFHKPG_00800	group_1827
CFHKPG_00801	tdk
CFHKPG_00802	group_2024
CFHKPG_00803	tmk
CFHKPG_00804	group_415
CFHKPG_00805	bamA
CFHKPG_00806	hlpA
CFHKPG_00807	mutS
CFHKPG_00808	comFC
CFHKPG_00809	rimP
CFHKPG_00810	nusA
CFHKPG_00811	infB
CFHKPG_00812	rbfA
CFHKPG_00813	truB
CFHKPG_00814	rpsO
CFHKPG_00815	pnp
CFHKPG_00816	group_1982
CFHKPG_00817	group_1626
CFHKPG_00818	lptF
CFHKPG_00819	Queuine tRNA-ribosyltransferase
CFHKPG_00820	murJ
CFHKPG_00821	hEAT
CFHKPG_00822	coaBC
CFHKPG_00823	panF
CFHKPG_00824	RNA pseudouridine synthase family protein
CFHKPG_00825	ATP-binding protein
CFHKPG_00826	murC
CFHKPG_00827	yicC
CFHKPG_00828	cmk2
CFHKPG_00829	rpoZ
CFHKPG_00830	miaA
CFHKPG_00831	group_2012
CFHKPG_00832	group_1939
CFHKPG_00833	nAGPA
CFHKPG_00834	group_418
CFHKPG_00835	hrpA
CFHKPG_00836	topA
CFHKPG_00837	sbcD
CFHKPG_00838	sbcC
CFHKPG_00839	nagC
CFHKPG_00840	group_420
CFHKPG_00841	ileS
CFHKPG_00842	clpA
CFHKPG_00843	manB
CFHKPG_00844	uvrB
CFHKPG_00845	uvrA
CFHKPG_00846	lptD
CFHKPG_00847	group_238
CFHKPG_00848	Ribonuclease H1 N-terminal domain-containing protein
CFHKPG_00849	group_423
CFHKPG_00850	arcA
CFHKPG_00851	argF
CFHKPG_00852	yfcC
CFHKPG_00853	P12 family lipoprotein
CFHKPG_00854	Uncharacterized conserved protein, contains restriction enzyme R protein N terminal (HSDR_N) domain
CFHKPG_00855	thyX
CFHKPG_00856	osm28
CFHKPG_00857	group_476
CFHKPG_00858	group_271
CFHKPG_00859	group_175
CFHKPG_00860	group_315
CFHKPG_00861	group_477
CFHKPG_00862	group_682
CFHKPG_00863	group_478
CFHKPG_00864	group_683
CFHKPG_00865	group_684
CFHKPG_00866	Lp6-6 family lipoprotein
CFHKPG_00867	Ribosomal protein L5
CFHKPG_00868	T cell independent antigen P32BBTI
CFHKPG_00869	Conserved domain protein
CFHKPG_00870	group_688
CFHKPG_00871	group_689
CFHKPG_00872	group_690
CFHKPG_00873	group_273
CFHKPG_00874	Bbs27 protein
CFHKPG_00875	Putative outer membrane protein BBA52
CFHKPG_00876	group_693
CFHKPG_00877	group_893
CFHKPG_00878	group_694
CFHKPG_00879	group_695
CFHKPG_00880	group_696
CFHKPG_00881	group_697
CFHKPG_00882	group_698
CFHKPG_00883	Plasmid partition protein
CFHKPG_00884	group_700
CFHKPG_00885	group_701
CFHKPG_00886	group_479
CFHKPG_00887	group_702
CFHKPG_00888	group_703
CFHKPG_00889	group_704
CFHKPG_00890	group_480
CFHKPG_00891	Outer surface protein
CFHKPG_00892	group_511
CFHKPG_00893	group_481
CFHKPG_00894	group_705
CFHKPG_00895	group_706
CFHKPG_00896	group_707
CFHKPG_00897	dbpB
CFHKPG_00898	group_956
CFHKPG_00899	group_177
CFHKPG_00900	group_135
CFHKPG_00901	chromosome replication/partitioning protein
CFHKPG_00902	group_709
CFHKPG_00903	Plasmid partitioning associated protein-1
CFHKPG_00904	Peptide transporter
CFHKPG_00905	ospB
CFHKPG_00906	ospA
CFHKPG_00907	Outer membrane lipoprotein BBA14
CFHKPG_00908	Borrelia hemolysin accessory protein
CFHKPG_00909	group_275
CFHKPG_00910	group_715
CFHKPG_00911	DUF735 domain-containing protein
CFHKPG_00912	group_717
CFHKPG_00913	group_718
CFHKPG_00914	BBA07 family lipoprotein
CFHKPG_00915	Antigen, S1
CFHKPG_00916	group_484
CFHKPG_00917	Putative outer membrane protein BBA03
CFHKPG_00918	group_485
CFHKPG_00919	group_969
CFHKPG_00920	Borrelia burgdorferi virulent strain associated lipofamily protein
CFHKPG_00921	group_967
