CKDGNL_00005	group_1080
CKDGNL_01845	rpsC
CKDGNL_01850	rplV
CKDGNL_01855	rpsS
CKDGNL_01860	rplB
CKDGNL_01865	rplW
CKDGNL_01870	rplD
CKDGNL_01875	rplC
CKDGNL_01880	rpsJ
CKDGNL_01885	tuf
CKDGNL_01890	group_4154
CKDGNL_01895	norM
CKDGNL_01900	murA
CKDGNL_01905	ymdB
CKDGNL_01910	NADH dehydrogenase subunit 4L
CKDGNL_01915	lspA
CKDGNL_01920	nIF3
CKDGNL_01925	pgeF
CKDGNL_01930	lptB
CKDGNL_01935	Organic solvent tolerance-like N-terminal domain-containing protein
CKDGNL_01940	group_3432
CKDGNL_01945	ndk
CKDGNL_01950	efbC
CKDGNL_01955	dnaX
CKDGNL_01975	group_3691
CKDGNL_01990	group_3977
CKDGNL_01995	Fibronectin type-III domain-containing protein
CKDGNL_02000	uvrC
CKDGNL_02005	group_3799
CKDGNL_02010	holA
CKDGNL_02015	rfaB
CKDGNL_02020	mscS
CKDGNL_02025	chrA
CKDGNL_02030	group_2135
CKDGNL_02035	rpoN
CKDGNL_02040	raiA
CKDGNL_02045	ptsH
CKDGNL_02050	ptsN
CKDGNL_02055	aspS
CKDGNL_02060	fbaA
CKDGNL_02065	wcaG
CKDGNL_02070	jag
CKDGNL_02075	yidC
CKDGNL_02080	rnpA
CKDGNL_02085	rpmH
CKDGNL_02090	Uncharacterized protein BB_0439
CKDGNL_02095	dnaN
CKDGNL_02100	dnaA
CKDGNL_02105	gyrB
CKDGNL_02110	gyrA
CKDGNL_02115	parB
CKDGNL_02120	group_2137
CKDGNL_02125	group_3311
CKDGNL_02130	Impact N-terminal domain-containing protein
CKDGNL_02135	DUF1893 domain-containing protein
CKDGNL_02140	DUF3784 domain-containing protein
CKDGNL_02145	rsmI
CKDGNL_02150	rCL
CKDGNL_02170	mpg
CKDGNL_02175	group_1691
CKDGNL_02185	group_1387
CKDGNL_02190	rrp1
CKDGNL_02195	group_3997
CKDGNL_02200	adk
CKDGNL_02205	Pheromone shutdown protein TraB, contains GTxH motif (function unknown)
CKDGNL_02210	cheB
CKDGNL_02215	group_3446
CKDGNL_02220	sEC59
CKDGNL_02225	Membrane protein, putative
CKDGNL_02230	Endonuclease
CKDGNL_02235	group_1391
CKDGNL_02240	group_3585
CKDGNL_02245	manA
CKDGNL_02250	group_4010
CKDGNL_02255	DUF3996 domain-containing protein
CKDGNL_02260	group_2139
CKDGNL_02265	putative secreted protein
CKDGNL_02270	proS
CKDGNL_02275	gltP
CKDGNL_02280	group_1694
CKDGNL_02285	aNKYR
CKDGNL_02290	group_1695
CKDGNL_02295	group_3754
CKDGNL_02305	rpmG
CKDGNL_02315	nusG
CKDGNL_02320	rplK
CKDGNL_02325	rplA
CKDGNL_02330	rplJ
CKDGNL_02335	rplL
CKDGNL_02340	rpoB
CKDGNL_02345	rpoC
CKDGNL_02350	rpsL
CKDGNL_02355	rpsG
CKDGNL_02360	bmpD
CKDGNL_02365	bmpC
CKDGNL_02370	bmpA
CKDGNL_02375	bmpB
CKDGNL_02380	treA
CKDGNL_02385	mgtE
CKDGNL_02390	hinT
CKDGNL_02395	Uncharacterized protein BB_0378
CKDGNL_02400	luxS
CKDGNL_02405	metK
CKDGNL_02410	group_3267
CKDGNL_02415	pdeB
CKDGNL_02420	P31-23
CKDGNL_02425	gltX
CKDGNL_02430	glyQS
CKDGNL_02435	tyrS
CKDGNL_02440	clpA
CKDGNL_02445	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase
CKDGNL_02450	group_3903
CKDGNL_02455	apeA
CKDGNL_02460	p22
CKDGNL_02465	mgsA
CKDGNL_02470	pdeA
CKDGNL_02475	lgt
CKDGNL_02480	group_1702
CKDGNL_02485	group_1703
CKDGNL_02490	ctpA
CKDGNL_02495	rsmE2
CKDGNL_02500	UDP-N-acetyl-D-mannosaminuronic acid transferase (WecB/TagA/CpsF family)
CKDGNL_02505	cdnL
CKDGNL_02510	LptF/LptG family permease
CKDGNL_02515	Permease
CKDGNL_02520	group_3308
CKDGNL_02525	group_3483
CKDGNL_02530	rpmB
CKDGNL_02535	amrB
CKDGNL_02540	pyk
CKDGNL_02545	rqcH
CKDGNL_02550	lolA
CKDGNL_02555	BB_0345 family helix-turn-helix protein
CKDGNL_02560	uvrD
CKDGNL_02565	gatC
CKDGNL_02570	gatA
CKDGNL_02575	gatB
CKDGNL_02580	Uncharacterized protein BB_0340
CKDGNL_02585	rplM
CKDGNL_02590	rpsI
CKDGNL_02595	eno
CKDGNL_02600	P26
CKDGNL_02605	gsiA
CKDGNL_02610	dppD
CKDGNL_02615	dppC
CKDGNL_02620	dppB
CKDGNL_02625	group_3386
CKDGNL_02630	group_1715
CKDGNL_02635	group_2140
CKDGNL_02640	Glycerol-3-phosphate O-acyltransferase
CKDGNL_02645	group_3701
CKDGNL_02650	VWFA domain-containing protein
CKDGNL_02655	bamD
CKDGNL_02660	xkdP
CKDGNL_02665	group_1400
CKDGNL_02670	nupN
CKDGNL_02675	mglA
CKDGNL_02680	nupP
CKDGNL_02685	nupQ
CKDGNL_02690	group_2141
CKDGNL_02695	ispA
CKDGNL_02700	rlmE
CKDGNL_02705	cheW
CKDGNL_02710	nadK
CKDGNL_02715	group_3612
CKDGNL_02720	group_2142
CKDGNL_02725	group_3949
CKDGNL_02730	rsmH
CKDGNL_02735	ftsL
CKDGNL_02740	murF
CKDGNL_02745	mraY
CKDGNL_02750	ftsW
CKDGNL_02755	ftsQ
CKDGNL_02760	ftsA
CKDGNL_02765	ftsZ
CKDGNL_02770	TPR repeat-containing protein BB_0298
CKDGNL_02775	dprA
CKDGNL_02780	hslV
CKDGNL_02785	hslU
CKDGNL_02790	flgB
CKDGNL_02795	flgC
CKDGNL_02800	fliE
CKDGNL_02805	fliF
CKDGNL_02810	group_3778
CKDGNL_02815	fliH
CKDGNL_02820	fliI
CKDGNL_02825	group_1718
CKDGNL_02830	Flagellar protein
CKDGNL_02835	fliK
CKDGNL_02840	flgD
CKDGNL_02845	flgE
CKDGNL_02850	swrD
CKDGNL_02855	motA
CKDGNL_02860	motB
CKDGNL_02865	fliL
CKDGNL_02870	fliM
CKDGNL_02875	fliN
CKDGNL_02880	fliZ
CKDGNL_02885	fliP
CKDGNL_02890	fliQ
CKDGNL_02895	fliR
CKDGNL_02900	flhB
CKDGNL_02905	flhA
CKDGNL_02910	flhF
CKDGNL_02915	flhG
CKDGNL_02920	hfq
CKDGNL_02925	fapA
CKDGNL_02930	Uncharacterized protein BB_0266
CKDGNL_02935	Uncharacterized protein BB_0265
CKDGNL_02940	group_3722
CKDGNL_02945	group_3404
CKDGNL_02950	group_1192
CKDGNL_02955	group_1720
CKDGNL_02960	group_1551
CKDGNL_02965	mltE
CKDGNL_02970	uppP
CKDGNL_02975	ftsK
CKDGNL_02980	rpsU
CKDGNL_02985	nlpD
CKDGNL_02990	recJ
CKDGNL_02995	lon
CKDGNL_03000	mMPL
CKDGNL_03005	leuS
CKDGNL_03015	dedA
CKDGNL_03020	pcs
CKDGNL_03025	pepF
CKDGNL_03030	rdgB
CKDGNL_03035	group_3293
CKDGNL_03040	group_3450
CKDGNL_03045	yaaR
CKDGNL_03050	glpA
CKDGNL_03055	glpK
CKDGNL_03060	glpF
CKDGNL_03065	dck
CKDGNL_03070	group_4043
CKDGNL_03075	lnt
CKDGNL_03080	yncE
CKDGNL_03085	ychF
CKDGNL_03090	group_2146
CKDGNL_03095	rpsT
CKDGNL_03100	hbb
CKDGNL_03105	group_3746
CKDGNL_03110	rho
CKDGNL_03115	rpmE2
CKDGNL_03120	cym1
CKDGNL_03125	DUF3298 domain-containing protein
CKDGNL_03130	serS
CKDGNL_03135	dusA
CKDGNL_03140	group_1091
CKDGNL_03145	Putative lipoprotein
CKDGNL_03150	pgl
CKDGNL_03155	fliG
CKDGNL_03160	alaS
CKDGNL_03165	zupT
CKDGNL_03170	pstB
CKDGNL_03175	pstA
CKDGNL_03180	pstC
CKDGNL_03185	pstS
CKDGNL_03190	efp
CKDGNL_03195	group_3802
CKDGNL_03205	Borrelia PFam57/62 partition protein
CKDGNL_03210	mutL
CKDGNL_03215	tetratricopeptide repeat protein
CKDGNL_03220	group_1722
CKDGNL_03225	BB_0208 family protein
CKDGNL_03230	UTP--glucose-1-phosphate uridylyltransferase
CKDGNL_03235	rsmD
CKDGNL_03240	hDGYP
CKDGNL_03255	hflC
CKDGNL_03260	hflK
CKDGNL_03265	tlyC
CKDGNL_03275	murE
CKDGNL_03280	ddl
CKDGNL_03285	Putative membrane protein
CKDGNL_03290	spoT
CKDGNL_03295	prmC
CKDGNL_03300	prfA
CKDGNL_03305	lapB
CKDGNL_03310	tatD
CKDGNL_03315	group_2149
CKDGNL_03320	Yip1 domain-containing protein
CKDGNL_03325	infC
CKDGNL_03330	rpmI
CKDGNL_03335	rplT
CKDGNL_03340	group_1726
CKDGNL_03345	tsaE
CKDGNL_03350	tsaB
CKDGNL_03355	csrA
CKDGNL_03360	fliW
CKDGNL_03365	flgL
CKDGNL_03370	flgK
CKDGNL_03375	flbF
CKDGNL_03380	mnmE
CKDGNL_03385	mnmG
CKDGNL_03390	rsmG
CKDGNL_03395	moxR
CKDGNL_03400	yeaD2
CKDGNL_03405	batD
CKDGNL_03410	chlD
CKDGNL_03415	terY
CKDGNL_03420	tPR
CKDGNL_03425	SH3b domain-containing protein
CKDGNL_03430	infA
CKDGNL_03435	dksA
CKDGNL_03440	ompA
CKDGNL_03445	4-alpha-glucanotransferase
CKDGNL_03450	putative glycosyl hydrolase, alpha amylase family
CKDGNL_03455	K+-dependent Na+/Ca+ exchanger-like protein
CKDGNL_03460	group_3868
CKDGNL_03465	50S ribosomal protein L33
CKDGNL_03470	YD repeat protein
CKDGNL_03475	alr
CKDGNL_03480	S2/P23 family protein
CKDGNL_03485	group_1408
CKDGNL_03490	Integral membrane protein
CKDGNL_03495	group_1409
CKDGNL_03500	group_3075
CKDGNL_03505	secA
CKDGNL_03510	sod
CKDGNL_03515	nagB
CKDGNL_03520	nagA
CKDGNL_03525	fliD
CKDGNL_03530	flaB
CKDGNL_03535	proV
CKDGNL_03540	proW
CKDGNL_03545	proX
CKDGNL_03550	group_1732
CKDGNL_03555	tolC
CKDGNL_03560	acrA
CKDGNL_03565	Acriflavine resistance protein
CKDGNL_03570	Nitrogen regulatory protein P-II
CKDGNL_03575	group_2153
CKDGNL_03580	ftsI
CKDGNL_03585	hisS
CKDGNL_03590	group_4160
CKDGNL_03595	group_3078
CKDGNL_03600	greA
CKDGNL_03605	recA
CKDGNL_03610	Segregation and condensation protein A
CKDGNL_03615	rsuA
CKDGNL_03620	cmk
CKDGNL_03625	rpsA
CKDGNL_03630	group_1736
CKDGNL_03635	group_1737
CKDGNL_03640	Nucleoside transport system permease protein
CKDGNL_03645	rpsB
CKDGNL_03650	tsf
CKDGNL_03655	frr
CKDGNL_03660	uppS
CKDGNL_03665	Phosphatidate cytidylyltransferase
CKDGNL_03670	rseP
CKDGNL_03675	yqfA
CKDGNL_03680	ptsG2
CKDGNL_03685	rpsF
CKDGNL_03690	ssb
CKDGNL_03695	rpsR
CKDGNL_03700	rplI
CKDGNL_03705	dnaB
CKDGNL_03710	group_1410
CKDGNL_03715	paaJ
CKDGNL_03720	surA
CKDGNL_03725	nusB
CKDGNL_03730	group_1742
CKDGNL_03735	map
CKDGNL_03740	degQ
CKDGNL_03745	hpt1
CKDGNL_03750	SPOR domain-containing protein
CKDGNL_03755	asnS
CKDGNL_03760	murI
CKDGNL_03765	rsgA
CKDGNL_03770	mutS2
CKDGNL_03775	Uncharacterized protein BB_0097
CKDGNL_03780	atpE
CKDGNL_03785	Uncharacterized protein BB_0095
CKDGNL_03790	atpA
CKDGNL_03795	atpB
CKDGNL_03800	atpD
CKDGNL_03805	atpI
CKDGNL_03810	V-type ATP synthase subunit K
CKDGNL_03815	Uncharacterized protein BB_0089
CKDGNL_03820	lepA
CKDGNL_03825	ldh
CKDGNL_03830	yifB
CKDGNL_03835	iscU
CKDGNL_03840	csd
CKDGNL_03845	DUF1828 domain-containing protein
CKDGNL_03850	DUF4179 domain-containing protein
CKDGNL_03855	lolC
CKDGNL_03860	lolD
CKDGNL_03865	Permease family protein
CKDGNL_03870	Sugar-binding protein
CKDGNL_03875	ftsY
CKDGNL_03880	PEGA domain-containing protein
CKDGNL_03885	prfB
CKDGNL_03890	Uncharacterized protein BB_0073
CKDGNL_03895	rnfC
CKDGNL_03900	group_1415
CKDGNL_03905	yuiD
CKDGNL_03910	ampS
CKDGNL_03915	cof
CKDGNL_03920	pepP
CKDGNL_03925	Uncharacterized protein BB_0066
CKDGNL_03930	def
CKDGNL_03935	fmt
CKDGNL_03940	pASTA
CKDGNL_03945	rsmE1
CKDGNL_03950	trxA
CKDGNL_03955	ybeY
CKDGNL_03960	group_3561
CKDGNL_03965	bepA
CKDGNL_03970	gap
CKDGNL_03975	pgk
CKDGNL_03980	tpiA
CKDGNL_03985	secG
CKDGNL_03990	ung
CKDGNL_03995	trmH
CKDGNL_04000	yhhQ
CKDGNL_04005	group_3908
CKDGNL_04020	bpuR
CKDGNL_04025	rnhB
CKDGNL_04030	smc
CKDGNL_04035	Uncharacterized protein BB_0044
CKDGNL_04040	Uncharacterized protein BB_0043
CKDGNL_04045	phoU
CKDGNL_04050	cheR
CKDGNL_04055	Uncharacterized protein BB_0039
CKDGNL_04060	Uncharacterized protein BB_0038
CKDGNL_04065	plsC
CKDGNL_04070	parE
CKDGNL_04075	parC
CKDGNL_04080	group_4009
CKDGNL_04085	smpB
CKDGNL_04090	yfmG
CKDGNL_04095	group_3451
CKDGNL_04100	lepB
CKDGNL_04105	yaiI
CKDGNL_04110	bamB
CKDGNL_04115	Uncharacterized protein BB_0027
CKDGNL_04120	folD
CKDGNL_04125	tACO1
CKDGNL_04130	yliI
CKDGNL_04135	ruvA
CKDGNL_04140	ruvB
CKDGNL_04145	queA
CKDGNL_04150	pfp
CKDGNL_04155	Uncharacterized protein BB_0019
CKDGNL_04160	rluD
CKDGNL_04165	yitT
CKDGNL_04170	pspE
CKDGNL_04175	udk
CKDGNL_04180	priA
CKDGNL_04185	Uncharacterized protein BB_0013
CKDGNL_04190	truA
CKDGNL_04195	Uncharacterized protein BB_0011
CKDGNL_04200	acpS
CKDGNL_04205	YbbR-like domain-containing protein BB-0009
CKDGNL_04210	cdaA
CKDGNL_04215	Uncharacterized protein BB_0007
CKDGNL_04220	perM
CKDGNL_04225	trpS
CKDGNL_04230	manB
CKDGNL_04235	group_1844
CKDGNL_04240	Glycoside hydrolase family 3 N-terminal domain-containing protein
CKDGNL_04245	Uncharacterized protein BB_0001
CKDGNL_04250	thyX
CKDGNL_04255	osm28
CKDGNL_04260	group_3821
CKDGNL_04265	group_1421
CKDGNL_04270	group_1423
CKDGNL_04275	group_1194
CKDGNL_04280	Surface protein
CKDGNL_04285	group_1425
CKDGNL_04290	group_3898
CKDGNL_04295	group_3773
CKDGNL_04300	complement regulator-acquiring protein
CKDGNL_04305	Lp6-6 family lipoprotein
CKDGNL_04310	Ribosomal protein L5
CKDGNL_04315	T cell independent antigen P32BBTI
CKDGNL_04320	Conserved domain protein
CKDGNL_04325	group_1763
CKDGNL_04330	DUF777 domain-containing protein
CKDGNL_04335	DUF693 domain-containing protein
CKDGNL_04340	Bbs27 protein
CKDGNL_04345	group_3886
CKDGNL_04350	Putative outer membrane protein BBA52
CKDGNL_04355	group_3402
CKDGNL_04360	group_2159
CKDGNL_04365	DUF1322 domain-containing protein
CKDGNL_04370	DUF1473 domain-containing protein
CKDGNL_04375	group_3383
CKDGNL_04380	group_3904
CKDGNL_04385	DUF764 domain-containing protein
CKDGNL_04390	Plasmid partition protein
CKDGNL_04395	DUF1506 domain-containing protein
CKDGNL_04400	DUF3890 domain-containing protein
CKDGNL_04405	group_3264
CKDGNL_04410	Lyme disease proteins of unknown function
CKDGNL_04415	DUF1357 domain-containing protein
CKDGNL_04420	DUF1073 domain-containing protein
CKDGNL_04425	group_1765
CKDGNL_04430	Outer surface protein
CKDGNL_04435	group_3302
CKDGNL_04440	group_1432
CKDGNL_04445	group_3661
CKDGNL_04450	xtmB
CKDGNL_04455	group_1769
CKDGNL_04460	dbpB
CKDGNL_04465	group_2160
CKDGNL_04470	bppB
CKDGNL_04475	group_1773
CKDGNL_04480	group_3901
CKDGNL_04485	group_3462
CKDGNL_04490	Plasmid partitioning associated protein-1
CKDGNL_04495	Peptide transporter
CKDGNL_04500	ospB
CKDGNL_04505	ospA
CKDGNL_04510	Outer membrane lipoprotein BBA14
CKDGNL_04515	Borrelia hemolysin accessory protein
CKDGNL_04520	blyA
CKDGNL_04525	group_3549
CKDGNL_04530	DUF735 domain-containing protein
CKDGNL_04535	DUF276 domain-containing protein
CKDGNL_04540	DUF2634 domain-containing protein
